url,excerpt,risk_category,company,source,quarter
https://www.rev.com/transcripts/nvidia-q1-2026-earnings-call,"Thank you, Toshiya. We delivered another strong quarter with revenue of 44 billion, up 69% year over year, exceeding our outlook in what proved to be a challenging operating environment. Data center revenue of 39 billion grew 73% year-on-year. AI workloads have transitioned strongly to inference and AI factory build outs are driving significant revenue. Our customer's commitments are firm. On April 9th, the US government issued new export controls on H20, our data center GPU designed specifically for the China market. We sold H20 with the approval of the previous administration. Although our H20 has been in the market for over a year and does not have a market outside of China, the new export controls on H20 did not provide a grace period to allow us to sell through our inventory. In Q1, we recognized 4.6 billion in H20 revenue, which occurred prior to April 9th, but also recognized a 4.5 billion charge as we wrote down inventory and purchase obligations tied to orders we had received prior to April 9th.",Inventory Risk,INTEL,Earnings Call,Q3 2025
https://www.rev.com/transcripts/nvidia-q1-2026-earnings-call,"( 03:37 ) We were unable to ship 2.5 billion in H20 revenue in the first quarter due to the new export controls. The 4.5 billion charge was less than what we initially anticipated as we were able to reuse certain materials. We are still evaluating our limited options to supply data center compute products compliant with the US government's revised export control rules. Losing access to the China AI accelerator market, which we believe will grow to nearly 50 billion, would have a material adverse impact on our business going forward and benefit our foreign competitors in China and worldwide. Our Blackwell ramp, the fastest in our company's history drove a 73% year-on-year increase in data center revenue. Blackwell contributed nearly 70% of data center compute revenue in the quarter with a transition from Hopper nearly complete. The introduction of GB200 NVL was a fundamental architectural change to enable data center scale workloads and to achieve the lowest cost per inference token.",Transportation Risk,INTEL,Earnings Call,Q3 2025
https://www.rev.com/transcripts/nvidia-q1-2026-earnings-call,"( 04:53 ) While these systems are complex to build, we have seen a significant improvement in manufacturing yields and rack shipments are moving to strong rates to end customers. GB200 NVL racks are now generally available for modern builders, enterprises and sovereign customers to develop and deploy AI. On average, major hyperscalers are each deploying nearly 1,000 NVL 72 racks, or 72,000 Blackwell GPUs per week and are on track to further ramp output this quarter. Microsoft, for example, has already deployed tens of thousands of Blackwell GPUs and is expected to ramp to hundreds of thousands of GB200s with OpenAI as one of its key customers. Key learnings from the GB200 ramp will allow for a smooth transition to the next phase of our product roadmap, Blackwell Ultra. Sampling of GB300 systems began earlier this month at the major CSPs and we expect production shipments to commerce later this quarter.",Supplier Risk,INTEL,Earnings Call,Q3 2025
https://www.rev.com/transcripts/nvidia-q1-2026-earnings-call,"( 06:10 ) GB300 will leverage the same architecture, same physical footprint, and the same electrical and mechanical specifications as GB200. The GB300 drop-in design will allow CSPs to seamlessly transition their systems and manufacturing used for GB200 while maintaining high yields. B300 GPUs with 50% more HBM will deliver another 50% increase in dense FP4 inference compute performance compared to the B200. We remain committed to our annual product cadence with our roadmap extending through 2028 tightly aligned with the multiple year planning cycles of our customers. We are witnessing a sharp jump in inference demand. OpenAI, Microsoft and Google are seeing a step function leap in token generation. Microsoft processed over 100 trillion tokens in Q1, A five-fold increase on a year-over-year basis. This exponential growth in Azure, OpenAI is representative of strong demand for Azure AI Foundry, as well as other AI services across Microsoft's platform.",Supplier Risk,INTEL,Earnings Call,Q3 2025
https://www.rev.com/transcripts/nvidia-q1-2026-earnings-call,"( 13:19 ) We created the world's fastest switch, NVLink, for scale up. Our NVLink compute fabric in its fifth generation offers 14X the bandwidth of PCIe Gen 5. NVLink 72 carries 130 terabytes per second of bandwidth in a single rack equivalent to the entirety of the world peak internet traffic. NVLink is a new growth factor and is off to a great start with Q1 shipments exceeding a billion dollars. At Computex, we announced NVLink Fusion, hyperscale customers can now build semi-custom CCUs and accelerators that connect directly to the NVIDIA platform with NVLink. We are now enabling key partners, including ASIC providers such as MediaTek, Marvell, Alchip Technologies and Astera Labs, as well as CPU suppliers such as Fujitsu and Qualcomm, to leverage NVLink Fusion to connect our respective ecosystems. For scale out, our enhanced ethernet offerings deliver the highest throughput, low latency networking for AI. Spectrum-X posted strong, sequential and year-on-year growth and is now annualizing over eight billion in revenue.",Supplier Risk,INTEL,Earnings Call,Q3 2025
https://www.rev.com/transcripts/nvidia-q1-2026-earnings-call,"( 16:25 ) Moving to gaming and AI PCs. Gaming revenue was a record 3. 8 billion, increasing 48% sequentially and 42% year-on-year. Strong adoption by gamers, creatives, and AI enthusiasts have made Blackwell our fastest ramp ever. Against a backdrop of robust demand, we greatly improved our supply and availability in Q1 and expect to continue these efforts in Q2.",Other,INTEL,Earnings Call,Q3 2025
https://www.rev.com/transcripts/nvidia-q1-2026-earnings-call,"( 19:38 ) At COMPUTEX, we showcased Omniverse's great fraction with technology manufacturing leaders including TSMC, Quanta, Foxconn, Pegatron. Using Omniverse, TSMC saves months in work by designing fabs virtually. Foxconn accelerates thermal simulations by 150X, and Pegatron reduced assembly line defects rates by 67%.",Supplier Risk,INTEL,Earnings Call,Q3 2025
https://www.rev.com/transcripts/nvidia-q1-2026-earnings-call,"( 25:44 ) Today; however, the $50 billion China market is effectively closed to US industry. The H20 export ban ended our Hopper data center business in China. We cannot reduce Hopper further to comply. As a result, we are taking a multi-billion dollar write-off on inventory that cannot be sold or repurposed. We are exploring limited waste to compete, but Hopper is no longer an option.",Inventory Risk,INTEL,Earnings Call,Q3 2025
https://www.rev.com/transcripts/nvidia-q1-2026-earnings-call,"( 26:49 ) The AI race is not just about chips, it's about which stack the world runs on. As that stack grows to include 6G and quantum, US global infrastructure leadership is at stake. The US has based its policy on the assumption that China cannot make AI chips. That assumption was always questionable and now it's clearly wrong. China has enormous manufacturing capability. In the end, the platform that wins the AI developers, wins AI.",Supplier Risk,INTEL,Earnings Call,Q3 2025
https://www.rev.com/transcripts/nvidia-q1-2026-earnings-call,"( 29:17 ) Regarding onshore manufacturing, President Trump has outlined a bold vision to reshore advanced manufacturing, create jobs, and strengthen national security. Future plants will be highly computerized in robotics. We share this vision.",Supplier Risk,INTEL,Earnings Call,Q3 2025
